Sector,Industry,Industry Name,Companies,Establishments,Employees,Revenue,Payroll,Productivity,Avg Salary,Avg. Hr Rate
23,238120,Structural steel and precast concrete contractors,"3,506","3,577","77,366","15,476,984,000","4,663,204,000",330%,"60,275",30.14
23,238150,Glass and glazing contractors,"5,653","5,816","61,758","14,124,308,000","3,498,088,000",400%,"56,642",28.32
23,238390,Other building finishing contractors,"6,672","6,774","70,288","10,766,477,000","3,337,260,000",320%,"47,480",23.74
23,237210,Land subdivision,"4,790","4,893","23,692","9,376,544,000","1,586,225,000",590%,"66,952",33.48
23,238190,"Other foundation, structure, and building exterior contractors","5,553","5,588","47,061","9,303,708,000","2,641,896,000",350%,"56,138",28.07
23,238340,Tile and terrazzo contractors,"9,766","9,787","57,235","9,264,998,000","2,687,228,000",340%,"46,951",23.48
23,238170,Siding contractors,"7,730","7,812","35,070","6,574,724,000","1,466,580,000",450%,"41,819",20.91
3X,324110,Petroleum refineries,65,148,"66,700","499,142,863,000","8,263,063,000",6040%,"123,884",61.94
3X,336112,Light truck and utility vehicle manufacturing,43,61,"97,088","198,427,629,000","7,529,993,000",2640%,"77,558",38.78
3X,325412,Pharmaceutical preparation manufacturing,"1,033","1,297","143,622","153,923,077,000","12,209,760,000",1260%,"85,013",42.51
3X,336411,Aircraft manufacturing,260,313,"169,105","149,623,023,000","16,679,725,000",900%,"98,635",49.32
3X,336111,Automobile manufacturing,160,170,"80,798","99,360,904,000","6,564,067,000",1510%,"81,240",40.62
3X,326199,All other plastics product manufacturing,"5,230","6,185","365,773","94,679,367,000","16,602,433,000",570%,"45,390",22.7
3X,311611,Animal (except poultry) slaughtering,"1,297","1,372","146,671","89,812,741,000","6,428,770,000",1400%,"43,831",21.92
3X,325211,Plastics material and resin manufacturing,857,"1,126","73,338","88,438,219,000","6,161,513,000",1440%,"84,015",42.01
3X,331110,Iron and steel mills and ferroalloy manufacturing,169,292,"84,792","87,557,262,000","6,999,796,000",1250%,"82,553",41.28
3X,325199,All other basic organic chemical manufacturing,614,842,"62,873","77,194,094,000","5,896,559,000",1310%,"93,785",46.89
3X,311615,Poultry processing,308,522,"240,067","67,288,433,000","7,828,447,000",860%,"32,609",16.3
3X,323111,Commercial printing (except screen and books),"16,986","18,203","323,955","66,784,003,000","16,524,149,000",400%,"51,008",25.5
3X,336390,Other motor vehicle parts manufacturing,"1,284","1,504","150,630","64,500,262,000","7,368,837,000",880%,"48,920",24.46
3X,325110,Petrochemical manufacturing,27,43,"9,355","54,235,880,000","1,084,309,000",5000%,"115,907",57.95
3X,311612,Meat processed from carcasses,"1,241","1,404","112,939","53,740,859,000","4,924,198,000",1090%,"43,601",21.8
3X,334413,Semiconductor and related device manufacturing,737,816,"106,050","51,830,460,000","11,330,551,000",460%,"106,842",53.42
3X,334511,"Search, detection, navigation, guidance, aeronautical, and nautical system and instrument manufacturing",421,552,"124,780","51,591,093,000","12,402,172,000",420%,"99,392",49.7
3X,311513,Cheese manufacturing,410,563,"50,542","47,919,821,000","2,762,517,000",1730%,"54,658",27.33
3X,312230,Tobacco manufacturing,141,166,"13,164","47,546,899,000","908,611,000",5230%,"69,022",34.51
3X,322211,Corrugated and solid fiber box manufacturing,657,"1,236","84,975","44,943,191,000","5,255,689,000",860%,"61,850",30.93
3X,325620,Toilet preparation manufacturing,932,988,"50,028","43,444,165,000","3,069,165,000",1420%,"61,349",30.67
3X,336350,Motor vehicle transmission and power train parts manufacturing,389,473,"75,340","40,635,137,000","4,620,633,000",880%,"61,330",30.67
3X,339112,Surgical and medical instrument manufacturing,"1,064","1,231","111,429","39,680,612,000","7,743,646,000",510%,"69,494",34.75
3X,336412,Aircraft engine and engine parts manufacturing,319,415,"68,292","38,874,186,000","5,163,072,000",750%,"75,603",37.8
3X,336310,Motor vehicle gasoline engine and engine parts manufacturing,710,768,"62,264","38,814,009,000","3,965,457,000",980%,"63,688",31.84
3X,312111,Soft drink manufacturing,329,549,"55,963","38,046,355,000","3,130,174,000",1220%,"55,933",27.97
